position,time_to_complete
3k4/1p5p/p1p3p1/4Rp2/n1P2P2/P4P2/5P1P/5K2 w - - 0 29,300.0
8/7p/2p1k1p1/ppK1Pp2/5P2/P7/5P1P/8 w - - 0 36,300.0
rqb2rk1/pp1n1ppp/2nbp3/3pN3/3P1B2/P3PN2/1P3PPP/2RQKB1R w K - 5 12,300.0
rqb2rk1/pp3ppp/3bp3/1B1pn3/5B2/P3PN2/1P3PPP/2RQK2R w K - 0 14,300.0
rn1qr1k1/pp3pbp/2p2np1/3p1P2/3Pp3/BP2P1PP/P1P1Q1B1/RN3RK1 b - - 0 13,300.0
rn2r1k1/ppq2pbp/5n2/3p2R1/3pp1P1/BPN1P2P/P1P2QB1/R5K1 b - - 1 18,300.0
4r1k1/1p2q1bp/p5p1/3p1r2/4p3/2P1RPP1/PP2Q2P/4R1K1 b - - 0 26,300.0
2R5/8/2p1pk2/1P1b1p2/8/5pP1/5K2/8 w - - 0 40,300.0
8/1p6/rP4p1/7p/p1kPpKPP/R3P3/8/8 w - - 2 41,3.708706855773926
r1b2rk1/ppp3pp/8/3pNpq1/3Pn3/3QP3/PP1N1PPP/R4RK1 w - - 2 16,300.0
1r1qk2r/1bpn1pb1/pp2p1pp/3nP3/2NP1B2/3B1N1P/PPQ2PP1/3RR1K1 w k - 1 17,300.0
2r2r1k/2p2pb1/p3p1pp/2NnP3/pPnP4/5N1P/4RPP1/2R3K1 w - - 0 31,300.0
8/5p1k/6p1/1q5p/p6P/6P1/Q4P1K/8 b - - 1 45,300.0
r2qr1k1/1p3pbp/2p2np1/p2p4/P1P1p1P1/1PN1PP1P/3PQ3/2RB1RK1 b - - 0 17,300.0
r3r1k1/1p3pbp/2pq1np1/p2p4/P1P1pPP1/1PN1P2P/3PQ3/2RB1RK1 b - - 0 18,300.0
r3r1k1/1pNn1pbp/1q4p1/p2p4/P3pPP1/1P2P2P/3PQ3/2RB1RK1 b - - 3 21,300.0
6k1/1p1n1p1p/6p1/pB1p4/P5P1/1P2Q2P/6K1/1q6 b - - 0 34,300.0
r3kbnr/ppp1q1pp/2n2p2/3p4/3P4/5Q1P/PPP2PPB/RN2KB1R w KQkq - 1 9,300.0
r3kbnr/ppp1q1pp/5p2/3p4/3n4/5Q1P/PPP1BPPB/RN2K2R w KQkq - 0 10,300.0
r1bqrb1k/2p4p/p4pp1/5n2/1P2p3/2P1P1B1/3N1PPP/RN1QR1K1 w - - 1 21,300.0
r1bq1b1k/2p4p/p4pp1/8/1P2rQ2/2P3B1/2nN1PPP/RN4K1 w - - 0 24,300.0
rnbqr2k/ppp3bp/5pp1/7n/2B1p2B/2P1PN2/PP3PPP/RN1QR1K1 w - - 2 13,300.0
3r2k1/5p2/6pp/8/Rb2p3/2p1B2P/PP2KPP1/8 b - - 1 32,300.0
rn1q1rk1/4ppbp/2p2np1/pp2B3/B7/2NP1Q1P/PPP2PP1/R4RK1 b - - 0 12,300.0
1n1q1r2/3nppkp/6p1/p7/p3Q3/3P3P/PPP2PP1/R4RK1 b - - 1 16,300.0
1r4k1/2R2p1p/6p1/p2Q4/8/1P1P3P/1q3PP1/6K1 b - - 3 28,300.0
r1b2rk1/ppp2ppp/2nq1n2/3pp3/3P4/2PBPN2/PP3PPP/RN1Q1RK1 w - - 0 9,300.0
r1b2rk1/ppp2ppp/3q1n2/4n3/4p3/2PB1N2/PP3PPP/RN1Q1RK1 w - - 0 11,300.0
r4rk1/p1p2ppp/2pq4/8/3p4/2P1PQ1P/PP3PP1/R4RK1 w - - 0 15,300.0
4r1k1/p4ppp/1q6/8/3p4/Q6P/PP1R1PP1/6K1 w - - 4 23,300.0
1q2r1k1/p4ppp/8/8/Q2p4/7P/PP1R1PP1/6K1 w - - 6 24,300.0
1k2rr2/pp3pp1/2pq3p/3p4/2nQPN2/2P5/PP4PP/R3R1K1 w - - 1 21,300.0
2k1rr2/ppp2pp1/2nq3p/3p4/3P2n1/2P1PN1N/PP4PP/R2QR1K1 w - - 3 16,300.0
r2q1rk1/1p2pPbp/2n3p1/p1p1n3/5B2/2N2B2/PPP2PPP/R2QR1K1 b - - 0 15,8.79250192642212
3r1q1k/1p2prbp/2n1N1p1/p2Bn3/5B2/8/PPP2PPP/R2QR1K1 b - - 2 19,4.073530197143555
8/1BR2pk1/p4bpp/1p6/5P2/P6P/3rr1P1/5RK1 b - - 0 28,300.0
2kr1r2/ppp3p1/2nqp2p/4Np2/3P3R/2P2QP1/PP3PP1/2KR4 w - - 4 18,300.0
8/5pk1/4p1p1/3p4/pr6/2K5/R7/8 b - - 5 50,6.876564979553223
8/5pk1/4p1p1/8/pK6/3p4/3R4/8 b - - 1 52,300.0
8/6k1/4p1p1/5p2/8/K2R4/8/8 b - - 0 54,300.0
8/8/5k2/4p3/4Kp2/6p1/8/3R4 b - - 1 60,300.0
8/4kpp1/7p/pR6/r6P/6P1/5PK1/8 w - - 0 51,300.0
8/4kpp1/7p/p7/7P/6P1/r4PK1/1R6 w - - 2 52,300.0
8/4kpp1/7p/8/p6P/6P1/r4PK1/5R2 w - - 0 53,300.0
r1b3k1/1pp2p2/2B2Bp1/p3p3/8/8/P1P2PPP/3R2K1 b - - 0 23,300.0
rnbq1rk1/ppp2p2/4p1pB/4b3/2B5/2N5/PPP2PPP/R2Q1RK1 b - - 0 12,300.0
r4r2/p2n2k1/2p1q1p1/1p2P1PR/4Q3/2PB4/1P4P1/2KR4 b - - 0 27,300.0
8/5pbp/1p1N1kpn/1B1p4/3P3P/2P2P2/1r3P2/4R1K1 w - - 0 25,7.607017993927002
4B3/5pbp/1p1N1kpn/3p4/3P3P/2P2P2/2r2P2/4R1K1 w - - 2 26,300.0
8/5nbp/1p1N1kp1/3p4/3P3P/2P2P2/2r2P2/4R1K1 w - - 0 27,8.506525039672852
2kr2nr/ppp5/3qb3/nP1p4/3P1p2/2PB1QP1/P2N4/RN3RK1 w - - 1 19,300.0
8/8/1k6/2Np4/P2n4/6K1/8/8 w - - 0 53,300.0
r1b1k1nr/ppp4p/2nq1p2/3pp1p1/3P4/3BPN1P/PPP2PP1/RN1QK2R w KQkq - 0 9,300.0
2kr2nr/ppp5/2nqbp2/3p3p/1P1P2p1/2PB3P/P2N1PP1/RN1Q1RK1 w - - 0 14,300.0
r2qr1k1/pp1n1pbp/2p2np1/3p4/3BP3/P2B1Q1P/1PPN1PP1/R4RK1 b - - 0 14,300.0
r2q2k1/pp3pbp/2p2np1/3pr3/4P3/P1PB1Q1P/1P1N1PP1/R4RK1 b - - 0 16,30.25575613975525
r2q2k1/pp3pbp/2p2np1/4r3/2NpP3/P1PB1Q1P/1P3PP1/R4RK1 b - - 1 17,300.0
r3r1k1/pp3pbp/2p3p1/4P2n/2Nq4/P2B1Q1P/1P3PP1/R3R1K1 b - - 1 20,300.0
3r2k1/pp3p1p/6p1/3R4/8/P4Q1P/1q3PP1/6K1 b - - 0 28,300.0
4rrk1/1p3ppp/p1npq3/5p2/2QP4/2P1PN2/PP1n1PPP/R4RK1 w - - 0 16,300.0
r4rk1/pp2pp1p/2pp2p1/7n/4P2P/3Bb3/PPPn1qQ1/K2N2RR b - - 5 19,300.0
r4rk1/pp2pp1p/2pp2p1/8/4P2P/3Bb3/PPPn1NR1/K6R b - - 0 21,300.0
1r3rk1/1pBbqpbp/p3p1p1/P2pP3/B4P2/8/1PP3PP/R1Q2RK1 b - - 6 19,300.0
rn1q1rk1/pp3pbp/3p1np1/2p5/1P1pP3/5BPP/P1PBNP2/R2Q1RK1 b - - 0 12,300.0
r2qr1k1/pp3pbp/1n2p1p1/3p4/3PnB2/1Q1BPN1P/PP3PP1/2R2RK1 w - - 0 17,300.0
r2qr1k1/pp3p1p/1n2p1p1/3pb3/3Pn3/1Q1BPN1P/PP3PP1/2R2RK1 w - - 0 18,300.0
4r3/6kp/6p1/p1P1Np2/3p1P2/1P1K3P/P5P1/8 w - - 0 37,300.0
rnb1kb1r/ppp1pppp/8/4n3/8/2N1B3/PPP2PPP/R2K1BNR b kq - 1 7,300.0
rn1q1rk1/pp3pbp/2pp1np1/3Pp3/4P3/1PN2Q2/PBP2PPP/2KR1B1R b - - 1 10,300.0
r5r1/pp1n3k/2pp1p1b/3PpPnP/4P3/1PN5/P1P1B1R1/1KB3R1 b - - 4 26,300.0
