position,time_to_complete
r1b2r1k/p1pnNpbp/p5p1/4P3/5B2/5N1P/PPP2PP1/R2K3R b - - 2 12,1.334324836730957
8/p4kp1/1p2p3/3pP3/3P1KpP/8/PP6/8 w - - 0 30,1.4795961380004885
rnb1kbnr/p1ppqppp/1p2p3/8/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 2 4,1.6332848072052002
1Rbr2k1/p1N2p1p/2p2bp1/8/2B5/7P/PPK2PP1/4R3 b - - 12 24,1.9397997856140137
1Rbr2k1/p1N2p1p/2p2bp1/8/2B5/7P/PPK2PP1/4R3 b - - 12 24,1.9397997856140137
rn1q1rk1/pp3pbp/2pp1np1/4p3/3PP3/2N2BPP/PPPB1P2/R2Q1RK1 b - - 0 10,2.1659927368164062
r4rk1/2qn1p1p/p1pp1bp1/4p3/PP6/2N1PB1P/2P2PP1/R2Q1RK1 b - - 0 15,2.184879779815674
5rk1/pr3pp1/p3p2p/2p5/8/8/PPPRKPPP/3R4 b - - 1 21,2.382843255996704
r3r1k1/1p3pbp/2pq1np1/p2p4/P1P1pPP1/1PN1P2P/3PQ3/2RB1RK1 b - - 0 18,2.4614481925964355
r2q1rk1/p2n2bp/b1pNp1p1/5p2/1p1P4/4B3/PPPQBPPP/R4RK1 b - - 3 16,2.558773994445801
r2q1rk1/p2n2bp/b1pNp1p1/5p2/1p1P4/4B3/PPPQBPPP/R4RK1 b - - 3 16,2.558773994445801
3r4/N2Pkpp1/1p5p/p1r1n3/P7/1P5P/3R1PP1/3R1K2 w - - 5 32,2.749558925628662
r1b2rk1/p3bppp/p1p1p3/6B1/8/5N2/PPP1KPPP/R2R4 b - - 5 15,2.8311691284179688
8/3k4/p3p3/1p1p4/3P1P2/P1P2K2/1P6/8 w - - 3 51,2.9030098915100098
3rR1k1/p1N2p1p/2p2bp1/5b2/2B5/7P/PP3PP1/2K5 b - - 3 27,3.42889404296875
3rR1k1/p1N2p1p/2p2bp1/5b2/2B5/7P/PP3PP1/2K5 b - - 3 27,3.42889404296875
r2q2k1/ppp3pp/3b2p1/3p1nN1/3P4/2P3P1/PP1NQ1PP/5RK1 w - - 2 20,3.5809412002563477
4r1k1/1p3pp1/1q1p1n1p/1p1PP3/8/1P1Q3P/P2N1PP1/4R1K1 w - - 1 23,3.772251844406128
8/4kpp1/7p/p7/7P/6P1/r4PK1/1R6 w - - 2 52,5.114999055862427
rn1q1r2/3nppkp/2p3p1/pN6/B7/3P1Q1P/PPP2PP1/R4RK1 b - - 0 14,5.90775203704834
r1bqk1nr/6p1/p1nbp2p/3pNp2/2pP1B2/2P1P2P/P2NBPP1/R2QK2R w KQkq - 4 12,7.060793876647949
r1b1k2r/ppp2ppp/2nq4/3pp3/3Pn3/2PBPN2/PP1N1PPP/R2QK2R w KQkq - 0 9,7.963989019393921
r1b1k2r/ppp2ppp/2nq4/3pp3/3Pn3/2PBPN2/PP1N1PPP/R2QK2R w KQkq - 0 9,7.963989019393921
r1b1k2r/ppp2ppp/2nq4/3pp3/3Pn3/2PBPN2/PP1N1PPP/R2QK2R w KQkq - 0 9,7.963989019393921
r1b1k2r/ppp2ppp/2nq4/3pp3/3Pn3/2PBPN2/PP1N1PPP/R2QK2R w KQkq - 0 9,7.963989019393921
rn1q1rk1/pp3p1p/2pp2pB/4b2n/2B1P2P/2NQ1P2/PPP2P2/2KR3R b - - 1 12,8.565177202224731
rn1q1rk1/pp3pbp/2pp1np1/4p3/1P4b1/P3PNP1/1BPP1PBP/RN1QR1K1 b - - 3 9,9.07218599319458
rr4k1/1b1q1pb1/1Rnp2pp/4p3/6B1/4B3/P1P2PPP/1Q2R1K1 b - - 5 22,9.148465871810911
1r4k1/5p1p/4p1p1/p2R4/3Q4/1P1P3P/P1q2PP1/5RK1 b - - 0 25,9.822540998458862
rnbqkbnr/pppppp1p/8/6p1/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,11.58035373687744
b7/P7/1p6/1Pk5/3N3p/3KPpp1/5P1P/8 w - - 0 52,11.72937297821045
rnbq1r2/p3ppkp/2pp1np1/1p1P4/4P3/2N5/PPPQ1PPP/2KR1BNR b - - 0 9,12.436858892440796
rnbqkb1r/ppp1pppp/3p1n2/4P3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,13.433631896972656
rnbqkb1r/ppp1pppp/3p1n2/4P3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,13.433631896972656
r4rk1/p1qn2bp/1p1p1pp1/2pP4/7B/4RB2/P1P2PPP/3QR1K1 b - - 3 20,14.123968124389648
3rr1k1/p1q2pb1/6pp/1pn1N3/3P4/P6P/1BP2PP1/1R1QR1K1 b - - 0 22,15.504166841506958
rn1q1rk1/pp3pbp/2p1bnp1/3Pp3/8/2BP1B2/PPPNNPPP/R2Q1RK1 b - - 0 10,16.23003101348877
rnbqr1k1/ppp2p2/4p1pB/4b3/2B1N3/8/PPP2PPP/R2Q1RK1 b - - 2 13,17.062891006469727
rnbq1rk1/ppppppbp/5np1/8/1P3PP1/5N2/PBPPP2P/RN1QKB1R b KQ - 0 5,17.866024017333984
rn1q1rk1/pp3pbp/2pp1np1/4p3/3P1Pb1/1P2P1P1/PBP1N1BP/RN1Q1RK1 b - - 0 9,19.601620197296143
2r2rk1/1p3pp1/2npp2p/p4q2/P2PN3/2P4P/1PQ2PP1/2R2RK1 w - - 3 18,19.81002902984619
rnbqk2r/ppp2pbp/5Bp1/3p4/2B5/1P3Q1P/P1PP1PP1/RN2K1NR b KQkq - 0 8,22.770815134048465
8/4kp2/7p/6p1/6PP/p4K2/r4P2/5R2 w - - 0 55,23.18944215774536
r2qkbnr/1ppb4/p1npp2p/5pp1/3P4/2PBPN1P/PP3PPB/RN1Q1RK1 w kq - 0 10,26.10700106620789
3r1rk1/pp4p1/5pnp/q7/3P4/3Q2B1/PP3PPP/R2R2K1 w - - 0 21,30.291894674301147
2r2r2/1p3pk1/p1nR2p1/2pB3p/4Pn1P/P1N2P2/1PPK1P1R/8 b - - 1 21,37.72755408287048
1r3r1k/2R4p/p5pN/3p1p2/3P4/1P5P/P4PP1/5K2 w - - 0 30,39.72527718544006
5k2/p6B/1bp3pp/8/4K1P1/5P1P/P7/8 b - - 2 40,40.55976581573486
5k2/p6B/1bp3pp/8/4K1P1/5P1P/P7/8 b - - 2 40,40.55976581573486
8/R5pp/2p2pk1/3p4/P7/7P/1P3qP1/4rRK1 w - - 0 33,40.76147389411926
8/PkN5/1p6/8/7p/3KPp2/5P1p/8 w - - 2 56,41.76661515235901
r1bqr1k1/pp3pp1/2np1n1p/3p4/2PpP3/3B1N1P/PP1N1PP1/R2QR1K1 w - - 0 13,47.23852896690369
r4r2/p2n2k1/2p1q1p1/1p2P1PR/4Q3/2PB4/1P4P1/2KR4 b - - 0 27,47.321815967559814
r3r1k1/pppb1ppp/2nq1n2/1B1pp3/3P4/2P1PN2/PP1N1PPP/R2Q1RK1 w - - 2 11,49.64676284790039
1q2r1k1/p4ppp/8/8/Q2p4/7P/PP1R1PP1/6K1 w - - 6 24,50.58249306678772
1q2r1k1/p4ppp/8/8/Q2p4/7P/PP1R1PP1/6K1 w - - 6 24,50.58249306678772
1q2r1k1/p4ppp/8/8/Q2p4/7P/PP1R1PP1/6K1 w - - 6 24,50.58249306678772
1q2r1k1/p4ppp/8/8/Q2p4/7P/PP1R1PP1/6K1 w - - 6 24,50.58249306678772
2kr3r/1ppbp1bp/p1nq2p1/5p2/2BP1P2/5N2/PP1Q1PPP/RN2R1K1 w - - 0 15,51.39035987854004
2r1r3/1p3pk1/p1nR2p1/2pB3p/N3Pn1P/P4P2/1PPK1P1R/8 b - - 3 22,52.98052978515625
8/p4kp1/1p2p3/3pP2P/3P2K1/8/PP6/8 w - - 1 32,57.303685903549194
8/5p2/3k4/5Kp1/6P1/p7/2r2P2/5R2 w - - 4 58,62.35479927062988
1r1qkb1r/pQ1b1ppp/4pn2/2pp4/3P1B2/2P1PN2/PP3PPP/RN2K2R w KQk - 1 10,70.32785272598267
5rk1/1p3ppp/p1b1p3/2P5/1P6/5PP1/P2R3P/2R3K1 w - - 1 27,80.34378337860107
r1b1kb1r/pp3ppp/n1pNp3/8/2B5/4BN2/PPP2PPP/R2K3R b kq - 1 11,86.97307205200195
6k1/2q1ppnp/1p4p1/pP2P3/2P5/4PN1P/5PP1/3Q2K1 w - - 1 28,87.67897510528564
8/8/2N5/pp1p1k2/3P4/2P4K/P1n5/8 w - - 2 45,94.68576693534852
r3k2r/2R5/p4p1p/np1bp1p1/3N4/4P2P/P4PPB/3R2K1 w - - 0 29,99.27867293357848
rn1q1rk1/p2n1pbp/2pp2p1/4p3/B3PP2/2N1BQ2/PPP3PP/R4RK1 b - - 5 12,104.6095449924469
5rk1/1p3pp1/p1b1p2p/2P5/1P6/5PP1/P2R3P/3R2K1 w - - 0 28,109.73564386367798
3r1rk1/4Rpbp/2q3p1/1Q1Rnp2/p7/P4PPP/BPP5/1K6 b - - 0 24,110.66146993637084
rn3rk1/ppp3pp/3bp1p1/3pN1q1/3P4/2P1P1P1/PP4PP/RN1Q1RK1 w - - 1 12,114.94204092025755
5rk1/q2nR2p/1r1p2p1/pPpP1p2/P1Bb1P2/4R3/5BPP/3Q2K1 b - - 5 32,118.92097806930542
r4rk1/pp2pp1p/1np3p1/4n3/2P5/1PN5/P2RBPPP/R5K1 b - - 0 16,123.28431010246275
rn3rk1/p1q2p1p/1ppp2p1/3P1bB1/8/2bB1N2/P1P2PPP/1R1Q1RK1 b - - 3 14,147.64249324798584
